User,Trial,House,Condition,Phase,Actual,Answer,AnswerMin,AnswerMax,StartTime,SaveTime,EndTime,Duration,Reaction Time,Subjective Surprise,Confidence,Expectations,Trust,Trust Save Time,Yes Time,No time,Change,Second Estimation,Second Estimation Time,Weight of Advice,performance,rental_price,stars,,,,,,,
2,27,115,3,1,405,0,0,0,1657176906,0,1657176913,7,1657176913,0,0,0,0,0,0,0,0,0,0,0,0,405,0,,,,,,,
2,28,40,3,1,1950,0,0,0,1657176913,0,1657176917,4,1657176917,0,0,0,0,0,0,0,0,0,0,0,0,1950,0,,,,,,,
2,29,6,3,1,450,0,0,0,1657176917,0,1657176921,4,1657176921,0,0,0,0,0,0,0,0,0,0,0,0,450,0,,,,,,,
2,0,36,3,2,790,0,750,980,1657177004,1657177034,1657177036,32,2,0,0,0,0,0,0,0,0,0,0,0,0,790,0,,,,,,,
2,1,115,3,2,405,0,350,470,1657177036,1657177112,1657177113,77,1,0,0,0,0,0,0,0,0,0,0,0,0,405,0,,,,,,,
2,2,172,3,2,550,0,450,600,1657177114,1657177144,1657177146,32,2,0,0,0,0,0,0,0,0,0,0,0,0,550,0,,,,,,,
2,3,29,3,2,1415,0,1000,1900,1657177146,1657177179,1657177180,34,1,0,0,0,0,0,0,0,0,0,0,0,0,1415,0,,,,,,,
2,4,189,3,2,420,0,340,430,1657177180,1657177204,1657177206,26,2,0,0,0,0,0,0,0,0,0,0,0,0,420,0,,,,,,,
2,5,119,3,2,750,0,840,1170,1657177206,1657177302,1657177304,98,2,0,0,0,0,0,0,0,0,0,0,0,0,750,0,,,,,,,
2,6,55,3,2,1340,0,870,1100,1657177304,1657177323,1657177324,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1340,0,,,,,,,
2,7,113,3,2,750,0,850,1250,1657177324,1657177340,1657177341,17,1,0,0,0,0,0,0,0,0,0,0,0,0,750,0,,,,,,,
2,8,100,3,2,895,0,850,1100,1657177341,1657177845,1657177846,505,1,0,0,0,0,0,0,0,0,0,0,0,0,895,0,,,,,,,
2,9,27,3,2,528,0,550,690,1657177847,1657177922,1657177923,76,1,0,0,0,0,0,0,0,0,0,0,0,0,528,0,,,,,,,
2,0,131,3,3,415,350,0,0,1657178282,1657178312,1657178343,61,31,2,5,18.57142857,0,0,1.65718E+12,0,1,380,1.65718E+12,-8.571428571,19.14893617,470,3,,,,,,,
2,1,162,3,3,355,380,0,0,1657178343,1657179433,1657179443,1100,10,2,5,6.578947368,0,1.65718E+12,1.65718E+12,1.65718E+12,2,380,1.65718E+12,0,5.555555556,360,4,,,,,,,
2,2,31,3,3,460,430,0,0,1657179443,1657179582,1657179594,151,12,2,5,6.976744186,5,1.65718E+12,1.65718E+12,1.65718E+12,1,450,1.65718E+12,-4.651162791,18.18181818,550,3,,,,,,,
2,3,88,3,3,620,640,0,0,1657179594,1657179616,1657179630,36,14,1,3,3.125,5,1.65718E+12,1.65718E+12,1.65718E+12,2,450,1.65718E+12,29.6875,11.72413793,725,4,,,,,,,
2,4,99,3,3,815,870,0,0,1657179630,1657179670,1657179676,46,6,2,3,6.32183908,5,1.65718E+12,1.65718E+12,1.65718E+12,2,450,1.65718E+12,48.27586207,21.67832168,715,3,,,,,,,
2,5,49,3,3,910,780,0,0,1657179677,1657179770,1657179788,111,18,4,4,16.66666667,5,1.65718E+12,1.65718E+12,1.65718E+12,1,870,1.65718E+12,-11.53846154,3.333333333,900,4,,,,,,,
2,6,160,3,3,475,440,0,0,1657179788,1657179875,1657179889,101,14,2,4,7.954545455,5,1.65718E+12,1.65718E+12,1.65718E+12,1,460,1.65718E+12,-4.545454545,11.53846154,520,4,,,,,,,
2,7,30,3,3,405,350,0,0,1657179889,1657179980,1657179986,97,6,2,5,15.71428571,4,1.65718E+12,1.65718E+12,1.65718E+12,2,460,1.65718E+12,-31.42857143,22.22222222,450,3,,,,,,,
2,8,193,3,3,440,450,0,0,1657179986,1657180115,1657180125,139,10,5,5,2.222222222,4,1.65718E+12,1.65718E+12,1.65718E+12,2,460,1.65718E+12,-2.222222222,12.78195489,399,4,,,,,,,
2,9,192,3,3,910,890,0,0,1657180126,1657180167,1657180181,55,14,2,3,2.247191011,4,1.65718E+12,1.65718E+12,1.65718E+12,1,950,1.65718E+12,-6.741573034,0,950,5,,,,,,,
2,10,182,3,3,635,730,0,0,1657180181,1657180225,1657180241,60,16,2,5,13.01369863,4,1.65718E+12,1.65718E+12,1.65718E+12,1,695,1.65718E+12,4.794520548,27.52293578,545,2,,,,,,,
2,11,42,3,3,815,680,0,0,1657180241,1657180285,1657180293,52,8,6,3,19.85294118,4,1.65718E+12,1.65718E+12,1.65718E+12,2,695,1.65718E+12,-2.205882353,2.857142857,700,5,,,,,,,
2,12,53,3,3,400,350,0,0,1657180293,1657180326,1657180330,37,4,2,6,14.28571429,2,1.65718E+12,1.65718E+12,1.65718E+12,2,695,1.65718E+12,-98.57142857,0,350,5,,,,,,,
2,13,123,3,3,620,730,0,0,1657180330,1657180354,1657180365,35,11,4,5,15.06849315,2,1.65718E+12,1.65718E+12,1.65718E+12,2,695,1.65718E+12,4.794520548,10.4387292,661,4,,,,,,,
2,14,21,3,3,1015,810,0,0,1657180365,1657180382,1657180395,30,13,3,4,25.30864198,2,1.65718E+12,1.65718E+12,1.65718E+12,1,900,1.65718E+12,-11.11111111,22.07792208,1155,3,,,,,,,
2,15,201,3,3,1010,1200,0,0,1657180395,1657180453,1657180469,74,16,2,5,15.83333333,2,1.65718E+12,1.65718E+12,1.65718E+12,1,1090,1.65718E+12,9.166666667,38.4180791,1770,2,,,,,,,
2,16,195,3,3,1260,1600,0,0,1657180469,1657180491,1657180500,31,9,2,3,21.25,2,1.65718E+12,1.65718E+12,1.65718E+12,2,1090,1.65718E+12,31.875,11.84573003,1815,4,,,,,,,
2,17,105,3,3,715,790,0,0,1657180500,1657180540,1657180557,57,17,2,3,9.493670886,2,1.65718E+12,1.65718E+12,1.65718E+12,2,1090,1.65718E+12,-37.97468354,10.33519553,716,4,,,,,,,
2,18,6,3,3,485,590,0,0,1657180557,1657180570,1657180577,20,7,4,3,17.79661017,2,1.65718E+12,1.65718E+12,1.65718E+12,2,1090,1.65718E+12,-84.74576271,31.11111111,450,2,,,,,,,
2,19,75,3,3,1010,860,0,0,1657180577,1657180601,1657180617,40,16,4,2,17.44186047,2,1.65718E+12,1.65718E+12,1.65718E+12,1,950,1.65718E+12,-10.46511628,4.426559356,994,4,,,,,,,
2,20,181,3,3,720,880,0,0,1657180617,1657180667,1657180677,60,10,3,5,18.18181818,2,1.65718E+12,1.65718E+12,1.65718E+12,2,950,1.65718E+12,-7.954545455,11.53358682,789,4,,,,,,,
2,21,159,3,3,805,740,0,0,1657180677,1657180690,1657180694,17,4,2,6,8.783783784,2,1.65718E+12,1.65718E+12,1.65718E+12,2,950,1.65718E+12,-28.37837838,4.516129032,775,4,,,,,,,
2,22,89,3,3,775,810,0,0,1657180695,1657180743,1657180749,54,6,1,6,4.320987654,4,1.65718E+12,1.65718E+12,1.65718E+12,2,950,1.65718E+12,-17.28395062,2.994011976,835,5,,,,,,,
2,23,96,3,3,765,840,0,0,1657180749,1657180768,1657180774,25,6,1,5,8.928571429,4,1.65718E+12,1.65718E+12,1.65718E+12,2,950,1.65718E+12,-13.0952381,15.86206897,725,3,,,,,,,
2,24,63,3,3,1175,950,0,0,1657180774,1657180783,1657180804,30,21,4,6,23.68421053,4,1.65718E+12,1.65718E+12,1.65718E+12,1,1050,1.65718E+12,-10.52631579,19.23076923,1300,3,,,,,,,
2,25,86,3,3,875,1000,0,0,1657180804,1657180827,1657180835,31,8,4,4,12.5,4,1.65718E+12,1.65718E+12,1.65718E+12,2,1050,1.65718E+12,-5,17.64705882,850,3,,,,,,,
2,26,114,3,3,1090,900,0,0,1657180835,1657180846,1657180859,24,13,3,3,21.11111111,4,1.65718E+12,1.65718E+12,1.65718E+12,1,960,1.65718E+12,-6.666666667,28.35820896,1340,2,,,,,,,
2,27,158,3,3,820,900,0,0,1657180859,1657180890,1657180896,37,6,2,3,8.888888889,4,1.65718E+12,1.65718E+12,1.65718E+12,2,960,1.65718E+12,-6.666666667,8.629441624,985,4,,,,,,,
2,28,109,3,3,815,860,0,0,1657180896,1657180947,1657180955,59,8,2,3,5.23255814,4,1.65718E+12,1.65718E+12,1.65718E+12,2,960,1.65718E+12,-11.62790698,22.85714286,700,3,,,,,,,
2,29,58,3,3,530,540,0,0,1657180955,1657180968,1657180973,18,5,3,2,1.851851852,4,1.65718E+12,1.65718E+12,1.65718E+12,2,960,1.65718E+12,-77.77777778,10.20408163,490,4,,,,,,,
