,Unnamed: 0,id,type,rooms,bathrooms,squaremeters,floor,furnished,image,description,price,typenum,furnishednum,transport,equipped,renovated,shops,cellar,balcony,parking,shared,green,historic,university,predictions
49,124,137,apartment,2,1,37,0,yes,html/img/houses/137.JPG," In the sought-after district of Saint-HÃ©lier and 600 meters from the line A metro station and within a year the second line (B). Small collective from the 1950s, clean and in good condition. Come and discover this type 2 furnished apartment on the raised ground floor with an area of â€‹â€‹approximately 37.5 mÂ². It includes an entrance and its hallway, a living room with a fitted and equipped kitchen area, a separate bedroom, a bathroom.  ",659,3,1,1,1,0,1,0,0,0,0,0,0,0,666.514618318801
37,109,122,apartment,2,1,49,5,no,html/img/houses/122.JPG,"Close to shops and amenities, apartment on the top floor facing south with open view and comprising an entrance, a living room, a kitchen, a shower room. cellar on the landing, parking heating, collective hot & cold water.  ",725,3,0,1,0,0,1,1,0,1,0,0,0,0,712.694422058637
90,161,175,studio,1,1,24,3,no,html/img/houses/175.JPG,"Studio 11 rue du bois Perrin 3rd floor Entrance hall with large cupboard, main room, fitted kitchen area, cupboard, hallway, bathroom, wc, parking. Heating, cold water and hot water included in the charges ",500,2,0,0,0,0,0,0,0,1,0,0,0,0,490.9227793631946
97,54,58,studio,1,1,28,2,no,html/img/houses/58.JPG,"In the heart of the Alphonse GuÃ©rin district on Avenue Sergent Maginot, this studio is located less than 50m from the C6 and C4 bus lines connecting the city center, Villejean and Beaulieu. Facing south with a view of the courtyard, we offer this renovated and very functional apartment comprising an entrance hall, a main room with a balcony, a kitchenette, a shower room. ",490,2,0,1,0,1,1,0,1,0,0,0,0,0,481.1029490726043
33,29,32,apartment,3,2,76,4,no,html/img/houses/32.JPG," In a secure residence, charming Type 3 Apartment completely renovated, offering an entrance, a Fitted and Equipped kitchen (hood / hob / oven / microwave / dishwasher / Fridge / Freezer), a living room opening onto a SOUTH facing balcony, 2 bedrooms, a bathroom with lots of storage, a WC, a dressing room. In the annex, a tiled cellar and an air parking lot are at your disposal.",895,3,0,0,1,1,0,1,0,1,0,0,0,0,878.5859928439454
72,167,181,apartment,3,1,54,1,yes,html/img/houses/181.JPG,"Apartment Type T3 furnished and equipped, located in a pleasant and well located environment comprising living room, 2 bedrooms, fitted and equipped kitchen, bathroom water, separate wc, digicode, close to the Anatole France metro and all amenities. ",789,3,1,1,1,0,1,0,0,0,0,0,0,0,804.5443615186562
20,42,45,apartment,2,1,68,2,yes,html/img/houses/45.JPG,"Beautiful apartment type 3 Bis of 69 mÂ² comprising entrance hall, west-facing living room, fitted and equipped kitchen, office space, 2 bedrooms, shower room with wc, cellar... Parking nearby very easy.",870,3,1,0,1,0,0,1,0,1,0,0,0,0,887.6819155634582
70,69,75,apartment,3,1,85,3,no,html/img/houses/75.JPG,"Spacious type 3 inverted duplex of 85 m2 on the 3rd floor with elevator comprising an entrance with cupboard, 2 bedrooms, one with cupboard and terrace, shower room with wc, on the upstairs very nice living room / lounge on large West facing terrace, fitted and equipped open kitchen.",994,3,0,0,1,0,0,0,1,0,0,0,0,0,971.5356594819846
5,139,152,studio,1,1,30,6,no,html/img/houses/152.JPG,"T1 bis apartment of 30mÂ², comprising: entrance with cupboards, a living room with fitted and equipped kitchen and balcony, a sleeping area with a second balcony, view of the villa, a shower room, WC, laundry room and cellar. ",515,2,0,0,1,0,0,1,1,0,0,0,0,0,527.7283486385163
69,107,120,studio,1,1,21,4,yes,html/img/houses/120.JPG,"Ideally located in the center of rennes and at the same time quiet, come and discover this furnished studio offering the charm of the old and the comfort of a recent renovation with 1 living room and open fitted kitchen, shower room . ",522,2,1,1,0,0,1,0,0,0,0,0,0,0,508.5274817082741
7,181,196,apartment,2,1,50,-1,no,html/img/houses/196.JPG,"T2 bis comprising: a living room with fitted kitchen, a living room, a bedroom, a bathroom with WC, cellar and attic.",650,3,0,0,0,0,0,1,0,0,0,0,0,0,667.135498017552
62,93,106,studio,1,1,23,3,no,html/img/houses/106.JPG,"Located Quai de la PrÃ©valaye, in a quiet and secure condominium on the edge of the Vilaine, 23mÂ² studio on the 3rd and last floor without lift comprising a living room with kitchenette area and storage cupboard. Bathroom with bath and washing machine, separate WC.",457,2,0,1,0,0,1,0,0,0,0,0,0,0,470.3360965429418
78,144,157,apartment,2,1,30,3,yes,html/img/houses/157.JPG,"ideally located near the train station and the city center, in a small collective, type 2 comprising an entrance, a living room with kitchen, a bedroom, a bathroom, a cellar. ",585,3,1,1,0,0,1,1,0,0,0,0,0,0,602.3680816680892
21,106,119,apartment,3,1,53,2,no,html/img/houses/119.JPG,"Rue St-Martin, 10 min walk from the Sainte-Anne metro station, 3-room apartment comprising an entrance hall with storage, large living room and dining room opening onto a balcony, separate kitchen, bedroom, shower room, WC and collective parking. ",750,3,0,1,0,0,1,0,1,1,0,0,0,0,723.4321005342493
0,178,192,apartment,3,1,73,3,yes,html/img/houses/192.JPG,"Furnished two-bedroom apartment, sunny, double glazing, good insulation, location: private parking, cupboards and storage, local 2 wheels, close to shops, STAR bus, metro, possibility of shared accommodation. ",950,3,1,1,0,0,1,1,0,1,0,0,0,0,915.1931510994
87,156,170,studio,1,1,23,0,no,html/img/houses/170.JPG,"Rue Adolphe Touffait, discover this apartment of approximately 23m2 including an entrance with cupboard, a main room with kitchen area (kitchenette equipped with a fridge and hotplates) opening onto a south-facing balcony, a bathroom with wc. ",460,2,0,1,1,0,1,0,1,0,0,0,0,0,441.6443976263728
75,41,44,apartment,2,1,52,4,yes,html/img/houses/44.JPG,"Rennes center, rue Jules Simon, near RÃ©publique metro station apartment type two in very good condition with an area of â€‹â€‹52.25 mÂ² located on the 4th floor with elevator comprising: entrance with dressing room, kitchen, living room, bedroom, shower room with wc.",750,3,1,1,0,0,1,0,0,0,0,0,0,0,781.0433358461885
2,92,105,apartment,3,1,55,0,no,html/img/houses/105.JPG,"It includes an entrance, a living room, a fitted and equipped kitchen (hood, plates), two bedrooms, a shower room with WC. Cellar, attic, bike room.",716,3,0,0,1,0,0,1,0,0,0,0,0,0,745.849456279299
22,60,64,apartment,4,1,86,5,yes,html/img/houses/64.JPG,"Located at the foot of the Colombier shops, the metro and close to the city center, discover this apartment comprising an entrance hall, a living room with balcony, an equipped and fitted kitchen with balcony and rear kitchen, three bedrooms, a closet, a bathroom and separate toilets. You also benefit from a cellar in the basement. ",930,3,1,1,1,0,1,1,1,0,0,0,1,0,969.1311853799066
79,78,86,apartment,3,1,70,2,yes,html/img/houses/86.JPG,"Apartment located on the 2nd floor of a 1998 building, comprising an entrance hall, a living room opening onto a south-west facing terrace, a fitted and equipped kitchen, a utility room, 2 bedrooms, one with a closet, a bathroom and a separate WC. Individual heating (recent radiators), PVC double glazing, bicycle storage and fiber optics. Cellar and private parking in the secure basement. ",850,3,1,0,1,0,0,1,1,1,0,0,0,0,890.4021945754619
